Comment Number,Comment Content,Processed comments
152,Trump said its the most embarrassing thing that can happen to america NO&quot;THE BIGGEST EMBARRASSMENT  IS WATCHING ONE OF THESE 2 GONNA BE A LEADER FOR YOU AMERICANS WATCHING FROM THE UK,trump said embarrassing thing happen america nothe biggest embarrassment watching one going leader american watching uk
153,My vote is for the asteroid.  We need a complete restart.,vote asteroid need complete restart
154,Finally CNN couldn&#39;t hide how mentally gone Biden is with Dementia 😂<br><br>Not a &quot;cheap fake&quot; ha Kringe Pierre??,finally cnn could hide mentally gone biden dementia cheap fake ha kringe pierre
155,Its like a school playground watching from the uk😂😂,like school playground watching uk
156,Im watching from the uk for entertainment  purposes😂😂😂,watching uk entertainment purpose
157,Is this a american skit you couldn&#39;t maķe it up,american skit could make
158,Oh my god what a complete embarrassment for your country with these 2 criminals 😂and 😂😂,oh god complete embarrassment country criminal
159,"When Trump was president, i remember that i couldn&#39;t believe he represents USA. Today, i must say: Trump, get back!",trump president remember could believe represents usa today must say trump get back
160,Biden administration is absolutely the worst of all time.,biden administration absolutely worst time
161,"Biden might be senile, Trump still is an empty promise and only dumb people fall for him. They should replace Biden with a new candidate.",biden might senile trump still empty promise dumb people fall replace biden new candidate
162,Now  everyone can wake up and realize that the media is the true enemy of the people. All lies exposed. Propaganda pushers telling the people for 3 1/2 years that Biden is doing great. Millions of us knew the truth all along. Now the dummies know the truth,everyone wake realize medium true enemy people lie exposed propaganda pusher telling people year biden great million u knew truth along dummy know truth
163,Man what a train wreck.,man train wreck
164,This is so crazy. Matrix is genuinely smart af. Trump and Biden are both under the same umbrella. Controlled by one organisation or peoples. America always says there in debt so they avoid tax loopholes etc. they are just white collar gangsters running your society.,crazy matrix genuinely smart af trump biden umbrella controlled one organisation people america always say debt avoid tax loophole etc white collar gangster running society
165,I supported Dems in 2020... ashamed of it now,supported dems ashamed
166,"<a href=""http://www.youtube.com/results?search_query=%23trump2024"">#Trump2024</a>",trump
167,top 2 minds in america everyone,top mind america everyone
168,old man...old man...too old man for leadership of USA....not acceptable at all....can&#39;t believe US doesn&#39;t have better one? Truly disaster .,old manold mantoo old man leadership usanot acceptable allcannot believe u better one truly disaster
169,"&quot;At no point in your rambling, incoherent response were you even close to anything that could be considered a rational thought. Everyone in this room is now dumber for having listened to it. I award you no points, and may God have mercy on your soul&quot;.",point rambling incoherent response even close anything could considered rational thought everyone room dumber listened award point may god mercy soul
170,Bidone,bidone
171,"Behold America, two old men slandering each other as the world crumbles before us ^^",behold america two old men slandering world crumbles u
172,Trump Making a point.,trump making point
173,"I didn&#39;t realise  afghan evac was under biden.. that was atrocious, absolute humanitarian disaster.. people hanging off planes.. absolute nightmare",realise afghan evac biden atrocious absolute humanitarian disaster people hanging plane absolute nightmare
174,The anchors are soo bad at their jobs,anchor soo bad job
175,I bet the smell up there was outrageous,bet smell outrageous
